suite,case_id,backend,status,result,expected,elapsed_sec,error_type,error_message,tags,source
growing,mathcounts_035,asp,timeout,,28809,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=35,MATHCOUNTS bag choose
growing,mathcounts_035,essence,solved,28809,28809,40.213598,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=35,MATHCOUNTS bag choose
growing,mathcounts_040,wfomc,solved,49375,49375,0.761945,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=40,MATHCOUNTS bag choose
growing,mathcounts_040,propositionalwfomc,error,,49375,16.852347,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=40,MATHCOUNTS bag choose
growing,mathcounts_040,coso,solved,49375,49375,0.954312,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=40,MATHCOUNTS bag choose
growing,mathcounts_040,asp,timeout,,49375,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=40,MATHCOUNTS bag choose
growing,mathcounts_040,essence,solved,49375,49375,68.222085,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=40,MATHCOUNTS bag choose
growing,mathcounts_045,wfomc,solved,79359,79359,0.741473,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=45,MATHCOUNTS bag choose
growing,mathcounts_045,propositionalwfomc,error,,79359,21.556220,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=45,MATHCOUNTS bag choose
growing,mathcounts_045,coso,solved,79359,79359,1.008358,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=45,MATHCOUNTS bag choose
growing,mathcounts_045,asp,timeout,,79359,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=45,MATHCOUNTS bag choose
growing,mathcounts_045,essence,unsolved,,79359,100.082857,TimeoutError,Timed out after 100.000s,mathcounts;bag;choose;count;growing;family=mathcounts;domain=45,MATHCOUNTS bag choose
growing,mathcounts_050,wfomc,solved,129224,129224,0.780149,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=50,MATHCOUNTS bag choose
growing,mathcounts_050,propositionalwfomc,error,,129224,27.604335,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=50,MATHCOUNTS bag choose
growing,mathcounts_050,coso,solved,129224,129224,1.057531,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=50,MATHCOUNTS bag choose
growing,mathcounts_050,asp,timeout,,129224,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=50,MATHCOUNTS bag choose
growing,mathcounts_050,essence,timeout,,129224,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=50,MATHCOUNTS bag choose
growing,mathcounts_055,wfomc,solved,188650,188650,0.747970,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=55,MATHCOUNTS bag choose
growing,mathcounts_055,propositionalwfomc,error,,188650,32.397810,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=55,MATHCOUNTS bag choose
growing,mathcounts_055,coso,solved,188650,188650,1.130862,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=55,MATHCOUNTS bag choose
growing,mathcounts_055,asp,timeout,,188650,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=55,MATHCOUNTS bag choose
growing,mathcounts_055,essence,timeout,,188650,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=55,MATHCOUNTS bag choose
growing,mathcounts_060,wfomc,solved,266494,266494,0.734971,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=60,MATHCOUNTS bag choose
growing,mathcounts_060,propositionalwfomc,error,,266494,38.931247,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=60,MATHCOUNTS bag choose
growing,mathcounts_060,coso,solved,266494,266494,1.223730,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=60,MATHCOUNTS bag choose
growing,mathcounts_060,asp,timeout,,266494,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=60,MATHCOUNTS bag choose
growing,mathcounts_060,essence,timeout,,266494,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=60,MATHCOUNTS bag choose
growing,mathcounts_065,wfomc,solved,384314,384314,0.752726,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=65,MATHCOUNTS bag choose
growing,mathcounts_065,propositionalwfomc,error,,384314,46.397516,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=65,MATHCOUNTS bag choose
growing,mathcounts_065,coso,solved,384314,384314,1.307552,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=65,MATHCOUNTS bag choose
growing,mathcounts_065,asp,timeout,,384314,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=65,MATHCOUNTS bag choose
growing,mathcounts_065,essence,timeout,,384314,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=65,MATHCOUNTS bag choose
growing,mathcounts_070,wfomc,solved,514350,514350,0.766498,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=70,MATHCOUNTS bag choose
growing,mathcounts_070,propositionalwfomc,error,,514350,62.824465,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=70,MATHCOUNTS bag choose
growing,mathcounts_070,coso,solved,514350,514350,1.770271,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=70,MATHCOUNTS bag choose
growing,mathcounts_070,asp,timeout,,514350,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=70,MATHCOUNTS bag choose
growing,mathcounts_070,essence,timeout,,514350,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=70,MATHCOUNTS bag choose
growing,mathcounts_075,wfomc,solved,674804,674804,1.122973,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=75,MATHCOUNTS bag choose
growing,mathcounts_075,propositionalwfomc,error,,674804,60.046844,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=75,MATHCOUNTS bag choose
growing,mathcounts_075,coso,solved,674804,674804,1.431489,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=75,MATHCOUNTS bag choose
