suite,backend,solved,solved_unchecked,unsolved,wrong,error,timeout
growing,asp,14,0,28,0,0,58
growing,coso,100,0,0,0,0,0
growing,essence,36,0,23,0,0,41
growing,propositionalwfomc,0,0,0,0,77,23
growing,wfomc,91,0,0,0,0,9
